x,y
1.4210854715202004e-14,90.24139167447393
5.000000000000014,90.16848690982016
10.000000000000014,90.08774696608332
15.000000000000014,90.16687338281938
20.000000000000014,90.18834915692462
25.000000000000014,90.24170140709167
30.000000000000014,90.29914895733675
35.000000000000014,90.29109363161459
40.000000000000014,90.31889234419506
45.00000000000003,90.49715551521652
50.00000000000003,90.48099266981436
55.00000000000003,90.62598608021446
60,90.51756499779759
65.00000000000003,90.69302562567238
70.00000000000003,90.69283698788121
75.00000000000003,90.70492075976892
80.00000000000003,90.78671465784866
85,90.77486592075674
90.00000000000003,90.79031579262833
95.00000000000003,90.85715768679687
100.00000000000003,90.85777523268304
105.00000000000003,90.86226270009968
110.00000000000003,91.08207005638998
115.00000000000003,90.96929654994625
120.00000000000003,91.08784784071824
125.00000000000003,91.0702542815494
130.00000000000003,91.0038696627809
135.00000000000003,91.1633578729554
140.00000000000003,91.16286244321607
145.00000000000003,91.16485739075152
150.00000000000006,91.24632213412593
155.00000000000006,91.24692202159392
160.00000000000003,91.24771224120771
165.00000000000003,91.3170738981514
170.00000000000003,91.31712232122534
175.00000000000006,91.3170191578721
180.00000000000003,91.40224106738513
185.00000000000009,91.41005309364922
190.00000000000009,91.47219530434481
195.00000000000009,91.47086447617328
200.00000000000003,91.46556496261344
205.00000000000009,91.47971629610092
210.00000000000009,91.54422459694493
215.00000000000009,91.62196782562461
220.00000000000009,91.62565501528454
225.00000000000003,91.73704627102566
230.00000000000009,91.70099186473169
235.00000000000009,91.69601577717324
240.00000000000009,91.77722934391075
245.00000000000009,91.77208123945569
250.00000000000003,91.8355821913663
255.00000000000009,91.83816279299339
260.0000000000001,91.8678464843882
265.0000000000001,91.85097555287017
270.0000000000001,91.93379823447869
275.0000000000001,91.98326562048642
280.0000000000001,91.92528233672179
285.0000000000001,92.00806317419706
290.0000000000001,92.08315270745221
295.0000000000001,92.08373119204003
300.0000000000001,92.03399724233273
305.0000000000001,92.09472833998443
310.0000000000001,92.16123198119752
315.0000000000001,92.09991429479811
320.0000000000001,92.10174550019659
325.0000000000001,92.23827274698617
330.0000000000001,92.22752255397349
335.0000000000001,92.24020593402437
340.0000000000001,92.31502361921311
345.0000000000001,92.31502365337131
350.0000000000001,92.31503082332182
355.0000000000001,92.3918148893907
360.0000000000001,92.3918248377851
365.0000000000001,92.39182483778076
370.0000000000001,92.3918326473131
375,92.46865084890185
380.0000000000001,92.46862602218668
385.0000000000001,92.46862583126477
390.0000000000001,92.54464919392578
395.0000000000001,92.54760326646257
400.0000000000001,92.54542720424072
405.0000000000001,92.54626591726638
410.0000000000001,92.62222833439634
415.0000000000001,92.62222839099192
420.0000000000001,92.62222839031584
425.0000000000001,92.64538975131211
430.0000000000001,92.77583074056241
435,92.77583075979952
440.0000000000001,92.77583075872741
445.0000000000001,92.777067901942
450,92.84736960474218
455.0000000000001,92.85257761486208
460,92.85263175658145
465.0000000000001,92.92942171661275
470.0000000000001,92.92943312861028
475,92.92943312861095
480.0000000000001,92.92939567298964
485,93.08321523758998
490.0000000000001,93.08303549744717
495.0000000000001,93.08319332798246
500,93.15983696185465
505.0000000000001,93.15983668181525
510,93.15984784279553
515.0000000000001,93.23663451527973
520.0000000000001,93.23663786622814
525,93.23663786622365
530.0000000000001,93.23664142749953
535.0000000000001,93.31347715934781
540.0000000000001,93.31343905062232
545.0000000000001,93.31343905062299
550.0000000000001,93.3134504588208
555.0000000000001,93.39023953162197
560.0000000000001,93.39024023503582
565.0000000000001,93.39024023502469
570.0000000000001,93.39023088774248
575.0000000000001,93.46703062485682
580.0000000000001,93.46704141943057
585.0000000000001,93.46701712524889
590.0000000000001,93.46700971446232
595.0000000000001,93.54384498939412
600.0000000000001,93.53676728418354
605.0000000000001,93.54384243892262
610.0000000000001,93.54384421298468
615.0000000000001,93.69806918630546
620.0000000000001,93.6974449725278
625.0000000000001,93.69744497264503
630.0000000000001,93.69744577543842
635.0000000000001,93.77432776000376
640.0000000000001,93.77424615712678
645.0000000000001,93.77424615705054
650.0000000000001,93.77424673423671
655.0000000000001,93.85108993991226
660.0000000000001,93.85104734144285
665.0000000000001,93.85104734145324
670.0000000000001,93.85104425166323
675.0000000000001,94.00411374199078
680.0000000000001,94.00464970997916
685.0000000000001,94.00460702907569
690.0000000000001,94.08145064054862
695.0000000000001,94.08145089466265
700.0000000000001,94.08145089468464
705.0000000000001,94.08147795284177
710.0000000000001,94.15825503822705
715.0000000000001,94.15825207906752
720.0000000000001,94.15825207903575
725.0000000000001,94.15840958298378
730.0000000000001,94.23505356940532
735.0000000000001,94.23505326347224
740.0000000000001,94.2350532637694
745.0000000000001,94.23524336206285
750.0000000000001,94.311854666156
755.0000000000001,94.31185444787558
760.0000000000001,94.31185444785167
765.0000000000001,94.31200352701137
770.0000000000001,94.38851658408097
775.0000000000001,94.45517980744988
780.0000000000001,94.38804970903524
785.0000000000001,94.38865566888857
790.0000000000001,94.41010209382037
795.0000000000001,94.46545721214507
800.0000000000001,94.46604656715891
805.0000000000001,94.46545778853688
810.0000000000002,94.53494105973157
815.0000000000001,94.6190591316391
820.0000000000001,94.61905918549088
825,94.6190591852526
830.0000000000002,94.613553580801
835.0000000000002,94.69586033448651
840.0000000000001,94.69586036989466
845.0000000000001,94.69586036989475
850,94.6958601979941
855.0000000000002,94.77310730571887
860.0000000000002,94.7726615540547
865.0000000000001,94.77264370498624
870.0000000000001,94.84958186571164
875,94.87957917053664
880.0000000000002,94.84958249761377
885.0000000000002,94.84959754702692
890.0000000000001,95.00308640150016
