#1
double tab(100,2)
	0.00	2.65727
	0.01	2.77370
	0.02	2.86745
	0.03	2.94298
	0.04	3.00387
	0.05	3.05301
	0.06	3.09270
	0.07	3.12481
	0.08	3.15082
	0.09	3.17194
	0.10	3.18912
	0.11	3.20315
	0.12	3.21463
	0.13	3.22408
	0.14	3.23189
	0.15	3.23839
	0.16	3.24383
	0.17	3.24842
	0.18	3.25232
	0.19	3.25568
	0.20	3.25861
	0.21	3.26117
	0.22	3.26346
	0.23	3.26551
	0.24	3.26739
	0.25	3.26912
	0.26	3.27073
	0.27	3.27224
	0.28	3.27368
	0.29	3.27506
	0.30	3.27639
	0.31	3.27768
	0.32	3.27894
	0.33	3.28018
	0.34	3.28140
	0.35	3.28260
	0.36	3.28379
	0.37	3.28496
	0.38	3.28614
	0.39	3.28730
	0.40	3.28846
	0.41	3.28962
	0.42	3.29078
	0.43	3.29193
	0.44	3.29309
	0.45	3.29424
	0.46	3.29539
	0.47	3.29655
	0.48	3.29770
	0.49	3.29886
	0.50	3.30002
	0.51	3.30118
	0.52	3.30234
	0.53	3.30350
	0.54	3.30467
	0.55	3.30583
	0.56	3.30700
	0.57	3.30818
	0.58	3.30936
	0.59	3.31054
	0.60	3.31172
	0.61	3.31291
	0.62	3.31410
	0.63	3.31530
	0.64	3.31650
	0.65	3.31771
	0.66	3.31893
	0.67	3.32015
	0.68	3.32138
	0.69	3.32261
	0.70	3.32386
	0.71	3.32512
	0.72	3.32638
	0.73	3.32766
	0.74	3.32895
	0.75	3.33026
	0.76	3.33158
	0.77	3.33293
	0.78	3.33429
	0.79	3.33568
	0.80	3.33710
	0.81	3.33855
	0.82	3.34003
	0.83	3.34156
	0.84	3.34315
	0.85	3.34479
	0.86	3.34651
	0.87	3.34833
	0.88	3.35026
	0.89	3.35233
	0.90	3.35459
	0.91	3.35709
	0.92	3.35993
	0.93	3.36324
	0.94	3.36723
	0.95	3.37229
	0.96	3.37913
	0.97	3.38931
	0.98	3.40684
	0.99	3.44590
